stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
148,148,Breckinridge Blvd & Kia Building,,33.965649,-84.085802,,,0,,0
149,149,Breckinridge Blvd & Newpoint Pl,,33.971899,-84.085329,,,0,,0
151,151,Breckinridge Blvd & RICOH (across),,33.971405,-84.08523,,,0,,0
153,153,Breckinridge Blvd & Fairfield Inn,,33.950189,-84.126871,,,0,,0
155,155,Breckinridge Blvd & Boggs Rd,,33.961231,-84.094542,,,0,,0
159,159,Brook Hollow Pkwy & PepBoys,,33.917865,-84.21078,,,0,,0
160,160,Brook Hollow Pkwy &Victory World Church,,33.919693,-84.202831,,,0,,0
161,161,Brook Hollow Pkwy & Indian Trail Rd OB,,33.930028,-84.178129,,,0,,0
162,162,Brook Hollow Pkwy & Chevron Gas Station,,33.930186,-84.178401,,,0,,0
163,163,Brook Hollow Pkwy & Financial Dr OB,,33.918926,-84.204894,,,0,,0
164,164,Brook Hollow Pkwy & Mitchell Rd OB,,33.923053,-84.188547,,,0,,0
165,165,Brook Hollow Pkwy & Mitchell Rd IB,,33.92273,-84.189599,,,0,,0
171,171,Brook Hollow Pkwy & Pinnacle Way OB,,33.927681,-84.183172,,,0,,0
172,172,Brook Hollow Pkwy & Pinnacle Way IB,,33.927885,-84.183268,,,0,,0
173,173,Brook Hollow Pkwy & Jimmy Carter Blvd OB,,33.918163,-84.207817,,,0,,0
174,174,Brook Hollow Pkwy & Jimmy Carter Blvd IB,,33.917962,-84.207824,,,0,,0
175,175,Brook Hollow & Indian Temple (1st Entran,,33.918778,-84.20471,,,0,,0
176,176,Brook Hollow Pkwy & Spring Lake Apts,,33.920051,-84.200296,,,0,,0
177,177,Brook Hollow Pkwy & Spring Lake Apts OB,,33.920252,-84.200565,,,0,,0
178,178,Brook Hollow Pkwy & EBD OB,,33.920028,-84.198673,,,0,,0
179,179,Brown Rd & Sugarloaf Pkwy IB,,33.985335,-84.080525,,,0,,0
180,180,Buford Hwy & Amwiler OB,,33.923945,-84.250991,,,0,,0
181,181,Beaver Ruin Rd & Buford Hwy (Las Tortas),,33.94394,-84.203065,,,0,,0
182,182,Buford Hwy & N Berkeley Lake Rd IB,,33.97585,-84.164203,,,0,,0
184,184,Buford Hwy & Andy Glass OB,,33.914541,-84.261696,,,0,,0
186,186,Buford Hwy & East Lake Dr (across) OB,,33.922996,-84.25242,,,0,,0
187,187,Buford Hwy & Gravitt Tr IB,,33.97347,-84.167478,,,0,,0
188,188,Buford Hwy & Hillside Dr,,33.929036,-84.236715,,,0,,0
189,189,Buford Hwy & Pine St OB,,33.929579,-84.234346,,,0,,0
190,190,Buford Hwy & S. Peachtree St  OB,,33.931556,-84.225795,,,0,,0
191,191,Buford Hwy & Jones Mills Rd,,33.925893,-84.247838,,,0,,0
194,194,Buford Hwy & N Norcross Tucker Rd OB,,33.935272,-84.215707,,,0,,0
195,195,Buford Hwy & Oakcliff Rd,,33.912028,-84.264163,,,0,,0
196,196,Buford Hwy & Simpson Cir,,33.966007,-84.177782,,,0,,0
197,197,Buford Hwy & Summerour St IB,,33.9426,-84.20651,,,0,,0
198,198,Buford Hwy & Value Pawn OB,,33.933004,-84.219843,,,0,,0
199,199,Buford Hwy & West Mount Tabor,,33.970857,-84.171066,,,0,,0
200,200,Buford Hwy & Woodbine Hill Way,,33.96904,-84.173549,,,0,,0
202,202,Buford Hwy & Steve Dr OB,,33.920743,-84.255512,,,0,,0
203,203,Buford Hwy at Steve Dr (Accu-Car Expo),,33.920553,-84.255383,,,0,,0
205,205,Buford Hwy & S Cemetery St IB,,33.938792,-84.211274,,,0,,0
206,206,Buford Hwy & Mitchell Rd (Advance Auto) ,,33.940976,-84.208992,,,0,,0
208,208,Buford Hwy & Peach Corners Dist Ctr,,33.945984,-84.202629,,,0,,0
209,209,Buford Hwy & Button Gwinnett Dr IB,,33.925875,-84.247395,,,0,,0
210,210,Buford Hwy & Cambridge St,,33.951188,-84.196034,,,0,,0
212,212,Buford Hwy at Car Z Atlanta IB,,33.929779,-84.232545,,,0,,0
213,213,Buford Hwy at Korean Catholic Church IB,,33.914449,-84.261306,,,0,,0
215,215,Buford Hwy at Global Forum OB,,33.919256,-84.257175,,,0,,0
216,216,Buford Hwy at Global Forum IB,,33.919089,-84.256918,,,0,,0
217,217,Buford Hwy & Gravitt Tr (across) OB,,33.973837,-84.167419,,,0,,0
218,218,Buford Hwy at Green Auto Body IB,,33.923282,-84.251526,,,0,,0
221,221,Buford Hwy at Hillside Dr IB,,33.928889,-84.236401,,,0,,0
222,222,Buford Hwy at Huntington Rd Apts IB,,33.931734,-84.223983,,,0,,0
225,225,Buford Hwy & Reyes Auto OB,,33.917962,-84.258413,,,0,,0
226,226,Buford Hwy at Jenny's Place IB,,33.91735,-84.258634,,,0,,0
227,227,Buford Hwy at Jimmy Carter IB,,33.932799,-84.2196,,,0,,0
229,229,Buford Hwy & Suzanne's Kitchen,,33.975958,-84.164478,,,0,,0
231,231,Buford Hwy at Lake Dr IB,,33.922405,-84.25286,,,0,,0
233,233,Buford Hwy & Langford Rd (Magnolia Plaza,,33.950267,-84.197463,,,0,,0
234,234,Buford Hwy at Lively Ave IB,,33.936144,-84.214275,,,0,,0
236,236,Buford Hwy & Mitchell Rd (NAPA) IB,,33.941486,-84.207868,,,0,,0
237,237,Buford Hwy & N Norcross Tucker Rd,,33.934888,-84.21576,,,0,,0
238,238,Buford Hwy & Norcross Industrial Ct,,33.948097,-84.199989,,,0,,0
239,239,Buford Hwy at Oak Rd IB,,33.928394,-84.238496,,,0,,0
240,240,Buford Hwy & S Peachtree St IB,,33.931147,-84.226642,,,0,,0
241,241,Buford Hwy & Old Norcross Rd,,33.947104,-84.200705,,,0,,0
242,242,Buford Hwy & Payne Rd,,33.961355,-84.18405,,,0,,0
243,243,Buford Hwy & Phoenix Metals,,33.962112,-84.183617,,,0,,0
244,244,Buford Hwy & S Old Peachtree Rd OB,,33.970153,-84.172553,,,0,,0
245,245,Buford Hwy at Pleasantdale Rd IB,,33.924555,-84.249668,,,0,,0
246,246,Buford Hwy & Pittman Cir,,33.957475,-84.188549,,,0,,0
247,247,Buford Hwy & Pittman Cir,,33.957961,-84.188484,,,0,,0
248,248,Buford Hwy & Centro Norcross Plaza IB,,33.940132,-84.209599,,,0,,0
249,249,Buford Hwy & Carlyle St OB,,33.938571,-84.21196,,,0,,0
250,250,Buford Hwy & Remington Park Ct,,33.964667,-84.179641,,,0,,0
251,251,Buford Hwy at Tofu House IB,,33.912404,-84.263377,,,0,,0
253,253,Buford Hwy & Simpson Cir,,33.966907,-84.177061,,,0,,0
254,254,Buford Hwy & Smith Ridge Trace,,33.952269,-84.195132,,,0,,0
255,255,Burns Rd & Cliffglen Way IB,,33.910512,-84.121632,,,0,,0
256,256,Burns Rd &  Garner Way,,33.910285,-84.122048,,,0,,0
258,258,Burns Rd & Burns Cir B,,33.908773,-84.139887,,,0,,0
259,259,Burns Rd & Beaver Ruin Rd (CVS),,33.912089,-84.133226,,,0,,0
260,260,Burns Rd & Beaver Ruin Rd (Chevron),,33.911916,-84.133264,,,0,,0
262,262,Burns Rd & Jacksons Mill Way,,33.90648,-84.144543,,,0,,0
263,263,Burns Rd & Jodeco Cir (across),,33.905054,-84.148139,,,0,,0
264,264,Burns Rd & Jodeco Rd,,33.904944,-84.147982,,,0,,0
265,265,Burns Rd & Johns Way IB,,33.91113,-84.11795,,,0,,0
266,266,Burns Rd & Johns Way,,33.911041,-84.117843,,,0,,0
267,267,Burns Rd & Pleasant Hill Rd OB,,33.91076,-84.113762,,,0,,0
268,268,Burns Rd & Shady Dr (across),,33.912182,-84.129214,,,0,,0
269,269,Burns Rd & Springwood Dr IB,,33.907393,-84.142868,,,0,,0
270,270,Burns Rd & Springwood Dr,,33.907412,-84.142616,,,0,,0
272,272,Burns Rd & Walking Ln (past),,33.911101,-84.126161,,,0,,0
277,277,Button Gwinnett Dr & Omega Dr OB,,33.923998,-84.244906,,,0,,0
278,278,Button Gwinnett Dr & RUSH Truck Ctr,,33.919495,-84.241523,,,0,,0
279,279,Button Gwinnett Dr & RUSH Ent (across),,33.919594,-84.241756,,,0,,0
280,280,Button Gwinnett Rd & Ryder,,33.924089,-84.244794,,,0,,0
281,281,Center Way Quicktrip (across),,33.919008,-84.197998,,,0,,0
282,282,Center Way & Oakbrook Summit Entrance,,33.917008,-84.19651,,,0,,0
283,283,Center Way & Reece  Supply OB,,33.916972,-84.196229,,,0,,0
288,288,Grayson Hwy & Associated Credit Union,,33.941891,-83.98321,,,0,,0
291,291,Club Dr & Carrington Ct Apts (Court Dr),,33.942136,-84.131656,,,0,,0
292,292,Club Dr & Crestwood Pkwy OB,,33.942393,-84.132338,,,0,,0
293,293,Club Dr & Shackleford Rd,,33.94266,-84.140351,,,0,,0
294,294,Club Dr & Shackleford Rd,,33.942784,-84.140384,,,0,,0
295,295,Club Dr & Steve Reynolds Blvd,,33.942111,-84.135106,,,0,,0
296,296,Club Dr & Steve Reynolds Blvd OB,,33.942331,-84.135434,,,0,,0
301,600029,Courtland Street at Ellis Street,,33.7585,-84.384307,,,0,,0
304,304,W. Pike St & CVS Pharmacy,,33.964751,-84.008297,,,0,,0
305,305,Dawson Blvd & Gateway Business Park,,33.908049,-84.208551,,,0,,0
308,308,Dawson Blvd & Varsity Entrance 2,,33.908171,-84.208424,,,0,,0
309,309,Dawson Blvd & Varsity Entrane 1,,33.907538,-84.20756,,,0,,0
310,310,Koger Blvd & Devry University OB,,33.948981,-84.123026,,,0,,0
313,313,Duluth Hwy & Meadow Brook Pkwy IB,,33.977836,-84.09691,,,0,,0
314,314,Duluth Hwy  & Primerica Pkwy OB,,33.978014,-84.095797,,,0,,0
316,316,Centerview Dr & Ferguson Elementary OB,,33.95077,-84.123157,,,0,,0
318,318,Best Friend Rd & Button Gwinnett Dr OB,,33.913848,-84.236614,,,0,,0
323,323,Graves Rd & McDonough Dr OB,,33.90262,-84.222407,,,0,,0
324,324,Graves Rd & McDonough Dr IB,,33.902556,-84.22256,,,0,,0
326,326,Graves Rd & Osborne Dr,,33.899823,-84.220848,,,0,,0
327,327,Graves Rd & Sienna Heights Apts OB,,33.895261,-84.212562,,,0,,0
328,328,Graves Rd & Champoins Park Apts OB,,33.901694,-84.221328,,,0,,0
329,329,Graves Rd & Champions Park Apts IB,,33.901706,-84.221593,,,0,,0
330,330,Graves Rd & Downing Ln OB,,33.895574,-84.21829,,,0,,0
333,333,Graves Rd & Marquis Estates Apts OB,,33.895201,-84.216259,,,0,,0
334,334,Graves Rd & E National Cir,,33.895072,-84.211406,,,0,,0
336,336,Grayson Hwy & Big Lots,,33.945033,-83.984695,,,0,,0
337,337,Grayson Hwy & Lawrenceville Square Plaza,,33.948587,-83.986771,,,0,,0
338,338,Grayson Hwy & Metro Matress,,33.946053,-83.985288,,,0,,0
340,340,Grayson Hwy & VFW IB,,33.942302,-83.983106,,,0,,0
349,349,Prof Dr at the Gwinnett Prof Center #2,,33.964379,-84.011488,,,0,,0
350,350,Gwinnett Dr & Bridgestone Tire,,33.943243,-83.992318,,,0,,0
351,351,Gwinnett Dr & Town Center Cinemas OB,,33.940332,-83.984885,,,0,,0
352,352,Gwinnett Dr & Green Tomato OB,,33.943179,-83.991868,,,0,,0
353,353,Gwinnett Dr & Kroger Shopping IB,,33.940172,-83.984931,,,0,,0
354,354,Gwinnett Dr & Police Security Bldg,,33.946601,-83.997147,,,0,,0
355,355,Gwinnett Dr & HS Football Field,,33.948037,-83.99822,,,0,,0
356,356,Gwinnett Dr & PNC Bank,,33.941479,-83.990338,,,0,,0
357,357,Gwinnett Dr & Scenic Hwy OB,,33.942449,-83.990716,,,0,,0
358,358,Gwinnett Dr & Stone Mountain St,,33.943999,-83.993521,,,0,,0
360,360,Gwinnett Central High School IB,,33.949949,-84.000314,,,0,,0
361,361,Gwinnett Technical College,,33.963566,-84.062777,,,0,,0
363,363,Old Norcross Rd & Hillandale Rd,,33.953877,-84.031564,,,0,,0
364,364,Holcomb Bridge Rd & Gwinnett Walk Plaza,,33.953953,-84.243505,,,0,,0
365,365,Holcomb Bridge Rd & Bank of America OB,,33.949696,-84.233291,,,0,,0
366,366,Holcomb Bridge Rd & Citgo Gas Station,,33.952823,-84.242668,,,0,,0
369,369,Holcomb Bridge Rd & Ryan Rd,,33.951016,-84.237336,,,0,,0
370,370,Holcomb Bridge Rd & A Hand to Hold,,33.953268,-84.243433,,,0,,0
371,371,Holcomb Bridge Rd & The Corners Pkwy OB,,33.951405,-84.239981,,,0,,0
372,372,Holcomb Bridge Rd & Woodland Rd OB,,33.957268,-84.245163,,,0,,0
374,374,Indian Trail Rd & Le's Auto Repair,,33.916933,-84.163812,,,0,,0
375,375,Indian Trail Rd at BOEHM Travel,,33.918621,-84.165212,,,0,,0
376,376,Indian Trail Rd & GA Belle Ct,,33.919412,-84.167214,,,0,,0
377,377,Indian Trail Rd & Georgia Belle Ct,,33.919719,-84.167148,,,0,,0
378,378,Indian Trail Rd & GACS (2nd Entrance) OB,,33.920976,-84.170006,,,0,,0
379,379,Indian Trail Rd & Indian Way,,33.908318,-84.157047,,,0,,0
380,380,Indian Trail Rd & Market Center,,33.905246,-84.155196,,,0,,0
381,381,Indian Trail Rd & Checks Cashed Bldg,,33.913263,-84.161259,,,0,,0
382,382,Indian Trail Rd & GACS (1st Entrance) OB,,33.921948,-84.171598,,,0,,0
383,383,Indian Trail Rd & Brook Plaza,,33.921205,-84.169726,,,0,,0
384,384,Indian Trail Rd & KFC/WF,,33.922819,-84.172651,,,0,,0
385,385,Indian Trail Rd & Quicktrip,,33.923146,-84.172471,,,0,,0
386,386,Indian Trail Rd & TreeTrl Village Plz,,33.916567,-84.163931,,,0,,0
387,387,Indian Trail Rd & Willow Trail Pkwy OB,,33.926156,-84.174902,,,0,,0
388,388,Indian Trail Rd & Willow Trail Pkwy IB,,33.925778,-84.174279,,,0,,0
390,390,Indian Tr & Wuthering Way (CPA) IB,,33.909825,-84.157204,,,0,,0
391,391,Jimmy Carter Blvd & Amway Products Dist,,33.935127,-84.224789,,,0,,0
392,392,Jimmy Carter Blvd & Atlantic Blvd,,33.939537,-84.236704,,,0,,0
393,393,Jimmy Carter Blvd & MJays Baked Foods,,33.940999,-84.237717,,,0,,0
395,395,Jimmy Carter Blvd & Veridian Bus Park,,33.94108,-84.237468,,,0,,0
396,396,Jimmy Carter Blvd & Cash Ct,,33.942557,-84.239125,,,0,,0
397,397,Jimmy Carter Blvd & Britt Rd,,33.885303,-84.191961,,,0,,0
398,398,Jimmy Carter Blvd & Williams Rd,,33.885044,-84.191321,,,0,,0
399,399,Jimmy Carter Blvd & Los Portales Rest,,33.931074,-84.221487,,,0,,0
400,400,Jimmy Carter Blvd & Atlantic Blvd,,33.939815,-84.236593,,,0,,0
403,403,Jimmy Carter Blvd & Everest Tr,,33.878488,-84.189059,,,0,,0
404,404,Jimmy Carter Blvd & Panda Cab & Granite ,,33.93777,-84.235503,,,0,,0
405,405,Jimmy Carter Blvd & Forest Vale Apts,,33.892921,-84.196443,,,0,,0
406,406,Jimmy Carter Blvd & NAPA,,33.892481,-84.19599,,,0,,0
407,407,Jimmy Carter Blvd & Best Friend Park OB,,33.928208,-84.220247,,,0,,0
408,408,Jimmy Carter Blvd & Gale Dr,,33.899287,-84.20364,,,0,,0
411,411,Jimmy Carter Blvd & Home Depot,,33.869427,-84.188102,,,0,,0
412,412,Jimmy Carter Blvd & Hunters Club Ln,,33.872646,-84.187997,,,0,,0
413,413,Jimmy Carter Blvd & Mr. Clean Carwash,,33.87193,-84.187763,,,0,,0
415,415,Jimmy Carter Blvd & Martins Rest OB,,33.93144,-84.222072,,,0,,0
416,416,Jimmy Carter Blvd & Sunrise Village Ln,,33.888412,-84.194429,,,0,,0
418,418,Jimmy Carter Blvd & Norhtbelt Dr,,33.92738,-84.219276,,,0,,0
419,419,Jimmy Carter Blvd & O'Riley,,33.922873,-84.213174,,,0,,0
421,421,Jimmy Carter Blvd & Pacific Dr,,33.935446,-84.227955,,,0,,0
423,423,Jimmy Carter Blvd & Quick Trip OB,,33.924278,-84.215927,,,0,,0
424,424,Jimmy Carter Blvd & Regency Pkwy OB,,33.929772,-84.221127,,,0,,0
425,425,Jimmy Carter Blvd & Rockbridge Rd (IHOP),,33.896309,-84.197557,,,0,,0
426,426,Jimmy Carter Blvd & SPECTRA,,33.936013,-84.233753,,,0,,0
427,427,Jimmy Carter Blvd & Shelby Dr,,33.895174,-84.196963,,,0,,0
428,428,Jimmy Carter Blvd & WalMart OB,,33.894475,-84.196516,,,0,,0
430,430,Jimmy Carter Blvd & Sonic OB,,33.922778,-84.213689,,,0,,0
431,431,Jimmy Carter Blvd & Tracey Valley Dr,,33.899234,-84.20279,,,0,,0
432,432,Jimmy Carter Blvd & Wandering Way,,33.881175,-84.18992,,,0,,0
433,433,Jimmy Carter Blvd & Wandering Way,,33.880857,-84.189512,,,0,,0
434,434,Jimmy Carter Blvd & Pacific Dr (Granite),,33.935635,-84.228433,,,0,,0
436,436,Johnson Rd & L&ing Plaza OB,,33.921209,-84.007821,,,0,,0
438,438,Nash St & GJAC Garage Ave,,33.949621,-83.992072,,,0,,0
439,439,131 Langley Professional Building,,33.95458,-83.997366,,,0,,0
440,440,Langley Dr & Plaza Park Office,,33.955857,-83.997854,,,0,,0
441,441,Langley Dr & Methodist Church,,33.954712,-83.997163,,,0,,0
442,442,Langley Dr & Huff St (Shell),,33.95595,-83.998129,,,0,,0
443,443,Lawrenceville Hwy & Main St,,33.892549,-84.141506,,,0,,0
444,444,Lawrenceville Hwy & Hillcrest Rd OB,,33.893008,-84.141654,,,0,,0
445,445,Lawrenceville Hwy & Bartow Jenkins Park,,33.946561,-84.006312,,,0,,0
446,446,Lawrenceville Hwy& Berkmar Middle Sch OB,,33.901201,-84.12627,,,0,,0
448,448,Lawrenceville Hwy & Exxon Gas Station,,33.886878,-84.158098,,,0,,0
449,449,Lawrenceville Hwy & PNC Bank (WalMart),,33.904257,-84.113215,,,0,,0
451,451,Lawrenceville Hwy & Greenwood Dr,,33.886811,-84.157819,,,0,,0
452,452,Lawrenceville Hwy & Harmony Grove Rd IB,,33.880772,-84.16472,,,0,,0
453,453,Lawrenceville Hwy & Hanarry Dr,,33.944762,-84.009346,,,0,,0
454,454,Lawrenceville Hwy & Harbins Rd IB,,33.888959,-84.155235,,,0,,0
455,455,Lawrenceville Hwy & Harbins Rd OB,,33.889202,-84.155506,,,0,,0
456,456,Lawrenceville Hwy & Harmony Grove Rd OB,,33.88122,-84.164515,,,0,,0
457,457,Lawrenceville Hwy & Pine St,,33.889508,-84.14463,,,0,,0
458,458,Lawrenceville Hwy &Tucker Valley Rd,,33.867094,-84.186814,,,0,,0
459,459,Lawrenceville Hwy & Kenvilla Dr IB,,33.875644,-84.170504,,,0,,0
460,460,Lawrenceville Hwy & Kenvilla Dr OB,,33.876121,-84.170286,,,0,,0
461,461,Lawrenceville Hwy & Lankford Rd IB,,33.870472,-84.176011,,,0,,0
