service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
6712,1,1,1,1,1,1,0,20210101,20231231
6720,1,1,1,1,1,0,0,20210101,20231231
7512,1,1,1,1,1,1,0,20210101,20231231
6712.13813,0,0,0,0,0,1,0,20210101,20231231
